Name,Location,Type,Priority,Latitude,Longitude,Another
Vallejo Beach,Half Moon Bay,Beach,2,37.4969928,-122.4644709,0
Martins Beach,Half Moon Bay,Beach,2,37.3754089,-122.4083336,0
Montara State Beach,Montara,Beach,2,37.5501915,-122.5140059,0
Roosevelt Beach,Half Moon Bay,Beach,2,37.4875,-122.45509,0
San Gregorio Private Beach,San Gregorio,Beach,2,37.3241614,-122.4038342,0
Beach State Park,Pacifica,Beach,2,37.6302275,-122.4943698,0
El Granada Beach,El Granada,Beach,2,37.5016704,-122.4752409,0
Pomponio State Beach,San Gregorio,Beach,2,37.299706,-122.4053,0
Bean Hollow State Beach,Pescadero,Beach,2,37.2265098,-122.4098504,0
Pelican Point Beach,Half Moon Bay,Beach,2,37.429345,-122.43979,0
Poplar Beach,Half Moon Bay,Beach,2,37.4552756,-122.4448064,0
San Gregorio State Beach,San Gregorio,Beach,2,37.3241614,-122.4038342,0
Greyhound Rock County Park,Davenport,Beach,2,37.0791989,-122.2675055,0
Coast Dairies State Park,Davenport,Beach,2,36.9922702,-122.1685481,0
Mitchell's Cove Beach,Santa Cruz,Beach,2,36.953275,-122.04171,0
Scaroni Road Beach,Davenport,Beach,2,36.9780723,-122.1384335,0
Natural Bridges State Beach,Santa Cruz,Beach,2,36.950029,-122.0570648,0
Scott Creek County Beach,Davenport,Beach,2,37.0400633,-122.2296917,0
Lighthouse Field State Beach,Santa Cruz,Beach,2,36.9532827,-122.0292615,0
Asilomar State Beach,Pacific Grove,Beach,2,36.6239105,-121.9402492,0
New Brighton State Beach,Capitola,Beach,2,36.9784723,-121.9351722,0
Manresa State Beach,Watsonville,Beach,2,36.9322572,-121.862728,0
Wilder Ranch State Park,Santa Cruz,Beach,2,36.9608066,-122.0834208,0
Sunset State Beach,Watsonville,Beach,2,36.8885453,-121.8339586,0
Seacliff State Beach,Aptos,Beach,2,36.9718383,-121.9137597,0
Capitola City Beach,Capitola,Beach,2,36.9746288,-121.9532352,0
Carmel River State Beach,Carmel-by-the-Sea,Beach,2,36.537226,-121.928029,0
Twin Lakes State Beach,Santa Cruz,Beach,2,36.9621603,-121.9987857,0
Pebble Beach,Pebble Beach,Beach,2,36.5615659,-121.9543254,0
Carmel Beach City Park,Carmel-by-the-Sea,Beach,2,36.5517133,-121.9295995,0
Julia Pfeiffer Burns State Park,Big Sur,Beach,2,36.1672596,-121.6708374,0
Butterfly Beach,Santa Barbara,Beach,2,34.4175267,-119.6496446,0
Monastery Beach,Carmel-by-the-Sea,Beach,2,36.5236996,-121.9265056,0
Marina State Beach,Marina,Beach,2,36.6907387,-121.8114924,0
Salinas River State Beach,Moss Landing,Beach,2,36.7835813,-121.7958666,0
Surf Beach,Lompoc,Beach,2,34.6808112,-120.6070948,0
Moss Landing State Beach,Moss Landing,Beach,2,36.8150397,-121.7913651,0
Cayucos State Beach,Cayucos,Beach,2,35.4483405,-120.9054734,0
Morro Strand State Beach,Morro Bay,Beach,2,35.3867186,-120.8645143,0
Estero Bluffs State Park,Cayucos,Beach,2,35.450584,-120.948966,0
Ávila Beach,Avila Beach,Beach,2,35.1785351,-120.7341349,0
William Randolph Hearst Memorial State Beach,San Simeon,Beach,2,35.6426497,-121.1912155,0
Sunset Beach,Sunset Beach,Beach,2,33.8700635,-78.5058437,0
Cabrillo Beach,Pacific Grove,Beach,2,36.6239105,-121.9402492,0
Point Sal State Beach,Guadalupe,Beach,2,34.9022636,-120.6582928,0
Morro Rock Beach,Morro Bay,Beach,2,35.3747743,-120.8637285,0
Rancho Guadalupe Dunes County Park,Guadalupe,Beach,2,34.9461766,-120.6559753,0
Jalama Beach County Park,Lompoc,Beach,2,34.5102477,-120.5011368,0
Del Monte Beach,Monterey,Beach,2,36.6054256,-121.8684626,0
Monterey State Beach,Monterey,Beach,2,36.6009841,-121.8906191,0
Point Sur Lightstation State Historic Park,Big Sur,Beach,2,36.3054076,-121.8994528,0
Montaña de Oro State Park,Los Osos,Beach,2,35.2688879,-120.8681488,0
San Carlos Beach,Monterey,Beach,2,36.6100473,-121.8956669,0
Pismo State Beach,Pismo Beach,Beach,2,35.130604,-120.634956,0
Morro Bay State Park,Morro Bay,Beach,2,35.347209,-120.844159,0
Santa Cruz Beach,Santa Cruz,Beach,2,36.9768528,-122.0318784,0
John Little State Reserve,Big Sur,Beach,2,36.1188512,-121.6307788,0
Lover's Point Beach,Pacific Grove,Beach,2,36.6259297,-121.9160825,0
Sand Dollar Beach,Big Sur,Beach,2,35.9240069,-121.4684883,0
Zmudowski State Beach,Moss Landing,Beach,2,36.8382994,-121.8039449,0
Point Lobos State Reserve,Carmel-by-the-Sea,Beach,2,36.5150834,-121.9438479,0
Hollister Ranch,Gaviota,Beach,2,34.4692878,-120.2438678,0
Leadbetter Beach,Santa Barbara,Beach,2,34.4020374,-119.6987401,0
Jack and Laura Dangermond Preserve,Santa Barbara,Beach,2,34.4995766,-120.4556687,0
El Capitán State Beach,Goleta,Beach,2,34.4589861,-120.0255919,0
Refugio State Beach,Goleta,Beach,2,34.4627015,-120.0708354,0
Goleta Beach Park,Goleta,Beach,2,34.4169647,-119.8331165,0
Gaviota State Park,Gaviota,Beach,2,34.471863,-120.228226,0
Arroyo Burro Beach,Santa Barbara,Beach,2,34.4027865,-119.7433816,0
West Beach,Santa Barbara,Beach,2,34.4102379,-119.6899295,0
Santa Barbara Shores County Park,Goleta,Beach,2,34.424315,-119.8970927,0
East Beach,Santa Barbara,Beach,2,34.4166106,-119.6668625,0
Lechuza Beach,Malibu,Beach,2,34.0359373,-118.8661682,0
Rincon Beach Park,Carpinteria,Beach,2,34.382858,-119.486875,0
Broad Beach,Malibu,Beach,2,34.0353936,-118.8563856,0
El Matador State Beach,Malibu,Beach,2,34.0379178,-118.8745514,0
Mandalay State Beach,Oxnard,Beach,2,34.2012677,-119.2506862,0
Carpinteria State Beach,Carpinteria,Beach,2,34.3911751,-119.5203884,0
Silver Strand Beach,Oxnard,Beach,2,34.1505961,-119.2183971,0
McGrath State Beach,Oxnard,Beach,2,34.2226258,-119.2599821,0
Zuma Beach,Malibu,Beach,2,34.0217909,-118.8316441,0
Robert Meyer Memorial State Beach,Malibu,Beach,2,34.0388219,-118.8863304,0
Port Hueneme Beach Park,Port Hueneme,Beach,2,34.1423384,-119.1929698,0
El Pescador State Beach,Malibu,Beach,2,34.0393582,-118.8932386,0
Emma Wood State Beach,Ventura,Beach,2,34.2855303,-119.326061,0
Point Dume State Beach,Malibu,Beach,2,34.003811,-118.8103002,0
Sorrento Beach,Santa Monica,Beach,2,34.0115107,-118.4988356,0
Redondo Beach,Redondo Beach,Beach,2,37.4403237,-122.4440304,0
Leo Carrillo State Park,Malibu,Beach,2,34.046543,-118.933739,0
Oxnard Beach Park,Oxnard,Beach,2,34.1633382,-119.2278864,0
Dockweiler State Beach,Playa Del Rey,Beach,2,33.9388028,-118.4406853,0
Ventura Beach,Ventura,Beach,2,37.4183209,-122.1288373,0
San Buenaventura State Beach,Ventura,Beach,2,34.2682204,-119.2794843,0
Will Rogers State Beach,Pacific Palisades,Beach,2,34.034411,-118.5353591,0
Malibu Lagoon State Beach,Malibu,Beach,2,34.0312803,-118.6823724,0
Harbor Cove Beach,Ventura,Beach,2,34.2467448,-119.2680029,0
Topanga State Beach,Malibu,Beach,2,34.038818,-118.5815549,0
La Piedra State Beach,Malibu,Beach,2,34.0388624,-118.887713,0
Santa Monica State Beach,Santa Monica,Beach,2,34.0115107,-118.4988356,0
County Line Beach,Malibu,Beach,2,34.0312803,-118.6823724,0
Lookout County Park,Summerland,Beach,2,34.4204783,-119.6022159,0
Venice City Beach,Venice,Beach,2,33.9801416,-118.4692247,0
Avenue H Beach,Redondo Beach,Beach,2,33.8204209,-118.3862016,0
Hermosa City Beach,Hermosa Beach,Beach,2,33.8643578,-118.4034348,0
Playa Del Rey,Playa Del Rey,Beach,2,33.9577175,-118.4496326,0
El Porto Beach,Manhattan Beach,Beach,2,33.904806,-118.4216878,0
El Segundo Beach,El Segundo,Beach,2,33.9160309,-118.4293985,0
Torrance County Beach,Torrance,Beach,2,33.8129386,-118.3916116,0
Point Mugu State Park,Malibu,Beach,2,34.1114137,-119.0125751,0
Manhattan Beach County Park,Manhattan Beach,Beach,2,33.8818529,-118.4113312,0
RAT Beach,Torrance,Beach,2,33.8057092,-118.3935731,0
Seal Beach,Seal Beach,Beach,2,33.7385088,-118.1068897,0
Surfside Beach,Surfside,Beach,2,28.9508269,-95.2883202,0
Huntington State Beach,Huntington Beach,Beach,2,33.6384539,-117.9750109,0
